CourseName,Played,Date,Notes,CurrentRanking,PastRanking,PanelistRating,City,State,Country,Architect,Latitude,Longitude
Rock Creek Cattle Company,,,,1,1,9.6,Deer Lodge,MT,United States,-,46.3977356,-112.72904968
The Reserve At Moonlight Basin,,,,2,2,9.2,Big Sky,MT,United States,-,45.31417084,-111.45082855
Stock Farm Club,,,,3,3,9.0,Hamilton,MT,United States,-,46.24694443,-114.15862274
Wilderness Club,,,,4,6,8.6,Eureka,MT,United States,-,48.88074112,-115.05343628
Iron Horse Golf Club,,,,5,4,-,Whitefish,MT,United States,-,48.45209885,-114.34279633
Spanish Peaks Mountain Club,,,,6,5,7.6,Big Sky,MT,United States,-,45.25875854,-111.31031799
Old Works Golf Club,,,,7,7,8.2,Anaconda,MT,United States,-,46.14334488,-112.86621857
Northern Pines Golf Club,,,,8,10,7.0,Kalispell,MT,United States,-,48.19775009,-114.3134613
