CourseName,Played,Date,Notes,CurrentRanking,PastRanking,PanelistRating,City,State,Country,Architect,Latitude,Longitude
Cape Arundel Golf Club,,,,1,2,8.8,Kennebunkport,ME,United States,-,43.36027908,-70.46611023
Boothbay Harbor Country Club,,,,2,3,8.2,Boothbay,ME,United States,-,43.8751564,-69.62379456
Belgrade Lakes Golf Club,,,,3,5,8.2,Belgrade Lakes,ME,United States,-,44.63299942,-69.78299713
Sugarloaf Golf Club,,,,4,4,7.8,Carrabassett Valley,ME,United States,-,45.07760239,-70.21298981
Portland Country Club,,,,5,NR,8.2,Falmouth,ME,United States,-,43.70811462,-70.22869873
Kebo Valley Club,,,,6,NR,7.6,Bar Harbor,ME,United States,-,44.38582993,-68.20944214
Sunday River Golf Club,,,,7,1,7.8,Newry,ME,United States,-,44.48791122,-70.78782654
