CourseName,Played,Date,Notes,CurrentRanking,PastRanking,PanelistRating,City,State,Country,Architect,Latitude,Longitude
Shooting Star Golf Club,,,,1,1,9.0,Teton Village,WY,United States,-,43.58657074,-110.82575989
Snake River Sporting Club,,,,2,2,8.6,Jackson,WY,United States,-,43.47962189,-110.76235199
3 Creek Ranch Golf Club,,,,3,3,8.6,Jackson,WY,United States,-,43.57341484,-110.75294434
Jackson Hole Golf & Tennis Club,,,,4,5,8.0,Jackson,WY,United States,-,43.47962189,-110.76235199
The Golf Club At Devils Tower,,,,5,4,7.6,Hulett,WY,United States,-,44.68355942,-104.59913635
Teton Pines Resort and Golf Club,,,,6,6,6.6,Wilson,WY,United States,-,43.49811554,-110.87622833
