CourseName,Played,Date,Notes,CurrentRanking,PastRanking,PanelistRating,City,State,Country,Architect,Latitude,Longitude
Fallen Oak,,,,1,1,6.4,Saucier,MS,United States,-,30.64637871,-88.90261778
Mossy Oak Golf Club,,,,2,2,8.4,West Point,MS,United States,-,33.6126442,-88.65036011
Old Waverly Golf Club,,,,3,3,8.8,West Point,MS,United States,-,33.56975937,-88.60636139
Annandale Golf Club,,,,4,4,8.6,Madison,MS,United States,-,38.82400131,-77.20664978
Dancing Rabbit Golf Club: Azaleas,,,,5,5,6.6,Philadelphia,MS,United States,-,39.95106125,-75.1656189
Dancing Rabbit Golf Club: The Oaks,,,,6,8,6.0,Philadelphia,MS,United States,-,32.77519989,-89.10836029
Grand Bear Golf Club,,,,7,6,7.6,Saucier,MS,United States,-,30.62899017,-89.13767242
The Preserve Golf Club,,,,8,9,8.6,Vancleave,MS,United States,-,30.53426552,-88.68762207
Shell Landing Golf Club,,,,9,10,8.6,Gautier,MS,United States,-,30.38819313,-88.63912964
