CourseName,Played,Date,Notes,CurrentRanking,PastRanking,PanelistRating,City,State,Country,Architect,Latitude,Longitude
Wilmington Country Club: South,,,,1,1,9.2,Wilmington,DE,United States,-,39.74443054,-75.54509735
Bidermann Golf Course,,,,2,4,8.6,Wilmington,DE,United States,-,39.74443054,-75.54509735
The Peninsula Golf & Country Club,,,,3,3,8.6,Millsboro,DE,United States,-,38.59192276,-75.29194641
Baywood Greens: Woodside/Waterside,,,,4,2,7.8,Long Neck,DE,United States,-,38.61284034,-75.13962378
Wilmington Country Club: North,,,,5,5,-,Wilmington,DE,United States,-,39.74443054,-75.54509735
