CourseName,Played,Date,Notes,CurrentRanking,PastRanking,PanelistRating,City,State,Country,Architect,Latitude,Longitude
Gozzer Ranch Golf and Lake Club,,,,1,1,9.6,Harrison,ID,United States,-,47.45498657,-116.78560638
The Golf Club At Black Rock,,,,2,2,8.8,Coeur D Alene,ID,United States,-,47.67334366,-116.77381897
Tributary,,,,3,3,8.8,Driggs,ID,United States,-,43.7244873,-111.11103821
CDA National (formerly The Club at Rock Creek),,,,4,4,8.0,Coeur D Alene,ID,United States,-,47.67334366,-116.77381897
Bronze Buffalo Sporting Club at Teton Springs,,,,5,5,7.8,Victor,ID,United States,-,43.60255051,-111.1140976
Circling Raven Golf Club,,,,6,6,8.2,Worley,ID,United States,-,47.4238472,-116.95859528
Coeur D'Alene Golf Club,,,,7,7,-,Coeur D Alene,ID,United States,-,47.67334366,-116.77381897
The Idaho Club,,,,8,8,7.0,Sandpoint,ID,United States,-,48.27609634,-116.55338287
